score,yds,french,uiaa,ewbank,saxon,norwegian,brazilian_crux,polish
80,5.12d,7c,9,27,10b,8+,IXa,VI.4+
81,5.12d,7c,9,27,10b,8+,IXa,VI.4+
82,5.13a,7c+,9+,28,10c,8+,IXb,VI.5
83,5.13a,7c+,9+,28,10c,8+,IXb,VI.5
84,5.13b,8a,10-,29,10c,9-,IXc,VI.5+
85,5.13b,8a,10-,29,10c,9-,IXc,VI.5+
86,5.13c,8a+,10,30,11b,9-,Xa,VI.5+
87,5.13c,8a+,10,30,11b,9-,Xa,VI.5+
88,5.13d,8b,10+,31,11c,9,Xb,VI.6
89,5.13d,8b,10+,31,11c,9,Xb,VI.6
90,5.14a,8b+,10+/11-,32,11c,9+,Xc,VI.6+
91,5.14a,8b+,10+/11-,32,11c,9+,Xc,VI.6+
92,5.14b,8c,11-,33,12a,9+,XIa,VI.7
93,5.14b,8c,11-,33,12a,9+,XIa,VI.7
94,5.14c,8c+,11,34,12b,10-,XIb,VI.7+
95,5.14c,8c+,11,34,12b,10-,XIb,VI.7+
96,5.14d,9a,11,35,12c,10,XIc,VI.8
97,5.14d,9a,11,35,12c,10,XIc,VI.8
98,5.15a,9a+,11/11+,36,13a,10+,XIIa,VI.8
99,5.15a,9a+,11/11+,36,13a,10+,XIIa,VI.8+
100,5.15b,9b,11+,37,13b,10+,XIIb,VI.8+
101,5.15b,9b,11+,37,13b,10+,XIIb,VI.9
102,5.15c,9b+,11+/12-,38,13b,11-,XIIc,VI.9
103,5.15c,9b+,11+/12-,38,13b,11-,XIIc,VI.9+
104,5.15d,9c,12-,39,13c,11,XIIIa,VI.9+
105,5.15d,9c,12-,39,13c,11,XIIIb,VI.9+
106,5.16a,9c+,12,40,13c,11+,XIIIc,VI.9+
107,5.16a,9c+,12,40,13c,11+,XIVa,VI.9+
